title	abstract	authors	source	publication_year	publication_month	publication_day
Synergistic effects of micropatterned biodegradable conduits and Schwann cells on sciatic nerve regeneration	This paper describes a novel biodegradable conduit that provides a combination of physical, chemical and biological cues at the cellular level to facilitate peripheral nerve regeneration. The conduit consists of a porous poly(D,L-lactic acid) (PDLLA) tubular support structure with a micropatterned inner lumen. Schwann cells were pre-seeded into the lumen to provide additional trophic support. Conduits with micropatterned inner lumens pre-seeded with Schwann cells (MS) were fabricated and compared with three types of conduits used as controls: M (conduits with micropatterned inner lumens without pre-seeded Schwann cells), NS (conduits without micropatterned inner lumens pre-seeded with Schwann cells) and N (conduits without micropatterned inner lumens, without pre-seeded Schwann cells). The conduits were implanted in rats with 1 cm sciatic nerve transections and the regeneration and functional recovery were compared in the four different cases. The number or size of regenerated axons did not vary significantly among the different conduits. The time of recovery, and the sciatic function index, however, were significantly enhanced using the MS conduits, based on qualitative observations as well as quantitative measurements using walking track analysis. This demonstrates that biodegradable micropatterned conduits pre-seeded with Schwann cells that provide a combination of physical, chemical and biological guidance cues for regenerating axons at the cellular level offer a better alternative for repairing sciatic nerve transactions than conventional biodegradable conduits.	Gregory E Rutkowski, Cheryl A Miller, Srdija Jeftinija, Surya K Mallapragada	Journal of Neural Engineering	2004	1	1
The true art of angling: being a clear and speedy way of taking all sorts of fresh-water fish, with the Worm, Fly, Paste, and other Baits, in their proper Seasons. How to know the Haunts of Fish, and Angle for them in all Waters and Weathers, at the Top, Middle, or Bottom; Baits Natural and Artificial; The several Ways of Angling. To which is added, An account of the Season and Spawning time of each Fish, and an Account of the principal Rivers, the Fish they produce, and the proper Places to Angle for them in each River.		John Smith fl. 1684-1704	The true art of angling: being a clear and speedy way of taking all sorts of fresh-water fish, with the Worm, Fly, Paste, and other Baits, in their proper Seasons. How to know the Haunts of Fish, and Angle for them in all Waters and Weathers, at the Top, Middle, or Bottom; Baits Natural and Artificial; The several Ways of Angling. To which is added, An account of the Season and Spawning time of each Fish, and an Account of the principal Rivers, the Fish they produce, and the proper Places to Angle for them in each River.	1770	1	1
Measurement of fish movements at depths to 6000 m using a deep-ocean lander incorporating a short base-line sonar utilizing miniature code-activated transponder technology		P M Bagley, S Bradley, I G Priede, P Gray	Measurement Science and Technology	1999	1	1
Prospects of an industrial application		D J Purll	Journal of Physics E: Scientific Instruments	1971	1	1
Perfect imaging without negative refraction	Perfect imaging has been believed to rely on negative refraction, but here we show that an ordinary positively refracting optical medium may form perfect images as well. In particular, we establish a mathematical proof that Maxwell's fish eye in two-dimensional (2D) integrated optics makes a perfect instrument with a resolution not limited by the wavelength of light. We also show how to modify the fish eye such that perfect imaging devices can be made in practice. Our method of perfect focusing may also find applications outside of optics, in acoustics, fluid mechanics or quantum physics, wherever waves obey the 2D Helmholtz equation.	Ulf Leonhardt	New Journal of Physics	2009	1	1
Food and water security in a changing arctic climate	In the Arctic, permafrost extends up to 500m below the ground surface, and it is generallyjust the top metre that thaws in summer. Lakes, rivers, and wetlands on the arcticlandscape are normally not connected with groundwater in the same way that they are intemperate regions. When the surface is frozen in winter, only lakes deeper than 2m andrivers with significant flow retain liquid water. Surface water is largely abundant insummer, when it serves as a breeding ground for fish, birds, and mammals. Inwinter, many mammals and birds are forced to migrate out of the Arctic. Fishmust seek out lakes or rivers deep enough to provide good overwintering habitat.Humans in the Arctic rely on surface water in many ways. Surface water meets domesticneeds such as drinking, cooking, and cleaning as well as subsistence and industrialdemands. Indigenous communities depend on sea ice and waterways for transportationacross the landscape and access to traditional country foods. The minerals, mining, andoil and gas industries also use large quantities of surface water during winterto build ice roads and maintain infrastructure. As demand for this limited, butheavily-relied-upon resource continues to increase, it is now more critical than ever tounderstand the impacts of climate change on food and water security in the Arctic.	Daniel M White, S Craig Gerlach, Philip Loring, Amy C Tidwell, Molly C Chambers	Environmental Research Letters	2007	1	1
Dose reduction associated with various countermeasures in freshwaterfish contamination in Hong Kong		C B Poon, S M Au	Journal of Radiological Protection	2000	1	1
Magnetic anomaly in a PbSrYCaCuO single crystal		A K Pradhan, P Chaddah, S B Roy, Chen Changkang	Superconductor Science and Technology	1994	1	1
Bio-inspired particle separator design based on the food retention mechanism by suspension-feeding fish	A new particle separator is designed using a crossflow filtration mechanism inspired by suspension-feeding fish in this study. To construct the model of the bio-inspired particle separator, computational fluid dynamics techniques are used, and parameters related toseparator shape, fluid flow and particle properties that might affect the performance in removing particles from the flow, are varied and tested. The goal is to induce a flow rotation which enhances the separation of particles from the flow, reduce the particle-laden flow that exits via a collection zone at the lower/posterior end of the separator, while at the same time increase the concentration of particles in that flow. Based on preliminary particle removal efficiency tests, an exiting flow through the collection zone of about 8 of the influent flow rate is selected for all the performance tests of the separator including trials with particles carried by air flow instead of water. Under this condition, the simulation results yield similar particle removal efficiencies in water and air but with different particle properties. Particle removal efficiencies (percentage of influent particles that exit through the collection zone) were determined for particles ranging in size from 1 to 1500m with a density between 1000 and 1150kg m3in water and 2 and 19mm and 68 and 2150kg m3in air. As an example, removal efficiencies are 66 and 64 for 707m diameter particles with a density of 1040kgm3in water and for 2mm particles with a density of 68kg m3in air, respectively. No significant performance difference is found by geometrically scaling the inlet diameter of the separator up or down in the range from 2.5 to 10cm.	Tien-Chieh Hung, Raul H Piedrahita, Angela Cheer	Bioinspiration & Biomimetics	2012	1	1
Time domain technique for low frequency dielectric measurements		M Kent	Journal of Physics E: Scientific Instruments	1980	1	1
Acoustic backscattering from an air-filled cylindrical hole embedded in a sound-translucent cylinder		R W G Haslett	British Journal of Applied Physics	1966	1	1
The Way to a Fish’s Heart: Non-Human Emotion and Emotional Tone in Birds, Beasts and Flowers		Sarah Bouttier	Études Lawrenciennes	2012	1	1
Vision of fish in air	The investigation of the focusing in fish eyes, both theoretical and experimental, by using asimple fish eye model, provides an interesting biological context for teaching theintroductory principles of optics. Moreover, the students will learn concepts of biology byan approach of cause and effect.	Giuseppe Colicchia	Physics Education	2007	1	1
Perfect imaging without refraction	Recent work suggesting that perfect far-field imaging is possible using Maxwell's fish-eye lens (Leonhardt 2009 New J. Phys. 11 093040) has raised a number of questions and controversies about the nature of imaging and field localization in inhomogeneous media. In this brief paper we present analogous results for a purely reflector-based imaging systeman elliptical cavity. With a source at one focus of the ellipse we show that sub-wavelength field localization can be achieved at the other focus when an active drain is present there, but not without it. Does this show that far-field perfect imaging is possible even without refraction (negative or positive) Unfortunately not, giving further evidence that these are solely drain-induced effects.	R J Blaikie	New Journal of Physics	2011	1	1
An exactly solvable coarse-grained model for species diversity	We present novel analytical results concerning ecosystem species diversity that stem from a proposed coarse-grained neutral model based on birthdeath processes. The relevance of the problem lies in the urgency for understanding and synthesizing both theoretical results from ecological neutral theory and empirical evidence on species diversity preservation. The neutral model of biodiversity deals with ecosystems at the same trophic level, where per capita vital rates are assumed to be species independent. Closed-form analytical solutions for the neutral theory are obtained within a coarse-grained model, where the only input is the species persistence time distribution. Our results pertain to: the probability distribution function of the number of species in the ecosystem, both in transient and in stationary states; the n-point connected time correlation function; and the survival probability, defined as the distribution of time spans to local extinction for a species randomly sampled from the community. Analytical predictions are also tested on empirical data from an estuarine fish ecosystem. We find that emerging properties of the ecosystem are very robust and do not depend on specific details of the model, with implications for biodiversity and conservation biology.	Samir Suweis, Andrea Rinaldo, Amos Maritan	Journal of Statistical Mechanics: Theory and Experiment	2012	1	1
The angler's vade mecum or A compendious yet full discourse of angling : discovering the aptest methods and ways ... for the catching all manner of fresh-water fish ... : together with a brief discourse of fish ponds, and not only the easiest but most palatable ways of dressing all sorts of fish		Chetham, James 1640-1692	The angler's vade mecum or A compendious yet full discourse of angling : discovering the aptest methods and ways ... for the catching all manner of fresh-water fish ... : together with a brief discourse of fish ponds, and not only the easiest but most palatable ways of dressing all sorts of fish	1681	1	1
Miniaturized multi-sensor for aquatic studies	We have developed and fabricated a multi-sensor chip for fisheries research and demonstrated the functionality under controlled conditions. The outer dimensions of the sensor chip are 3.0 7.4 0.8 mm3 and both sides of the chip are utilized for sensors. Hereby a more compact chip is achieved that allows for direct exposure to the seawater and thereby more accurate measurements. The chip contains a piezo-resistive pressure sensor, a pn-junction photodiode sensitive to visible light, a four-terminal platinum resistor for temperature measurement and four conductivity electrodes for the determination of the salinity of saltwater. Pressure, light intensity, temperature and salinity are all essential parameters when mapping the migration route of fish. The pressure sensor has a sensitivity of S 1.44 107 Pa1 and is optimized to 20 bar pressure; the light sensor has a quantum efficiency between 52 and 74 in the range of visible light. The temperature sensor responds linearly with temperature and has a temperature coefficient of resistance of 2.9 103 K1. The conductivity sensor can measure the salinity with an accuracy of 0.1 psu. This is all together the smallest and best functioning fully integrated MEMS-based multi-sensor made to date for this specific application. However, each single-sensor performance can be optimized by introducing a considerably more complicated process sequence. In this paper, a new simpler process for integrating the four sensors on one single chip is presented in details for the first time. Further, an optimized performance of the individual sensors is presented.	Karen Birkelund, Anders Hyldgrd, Dennis Mortensen, Erik V Thomsen	Measurement Science and Technology	2011	1	1
Act anent the loyal curing and packing of herring and salmond-fish : At Edinburgh the eleventh of May, 1693			Act anent the loyal curing and packing of herring and salmond-fish : At Edinburgh the eleventh of May, 1693	1693	1	1
Women and water for development: A practical journey to food security and poverty reduction in Africa		David Anokye Asamoah	IOP Conference Series: Earth and Environmental Science	2009	1	1
Summaries of articles in this issue			Journal of Radiological Protection	2003	1	1
Determination of the acoustic back-scattering patterns and cross sections of fish		R W G Haslett	British Journal of Applied Physics	1962	1	1
An account of the fish-pool: consisting of a description of the vessel so call'd, lately invented and built for the importation of fish alive, and in good Health, from Parts however distant. A Proof of the Imperfection of the Well-Boat hitherto used in the Fishing Trade. The true Reasons why Ships become stiff or crank in Sailing; with other Improvements, very useful to all Persons concern'd in Trade and Navigation. Likewise, a description of the carriage intended for the conveyance of fish by land, in the same good Condition as in the Fish-Pool by Sea. By Sir Richard Steele, and Mr. Joseph Gillmore, Mathematician.		Richard Steele 1672-1729, Joseph Gillmore	An account of the fish-pool: consisting of a description of the vessel so call'd, lately invented and built for the importation of fish alive, and in good Health, from Parts however distant. A Proof of the Imperfection of the Well-Boat hitherto used in the Fishing Trade. The true Reasons why Ships become stiff or crank in Sailing; with other Improvements, very useful to all Persons concern'd in Trade and Navigation. Likewise, a description of the carriage intended for the conveyance of fish by land, in the same good Condition as in the Fish-Pool by Sea. By Sir Richard Steele, and Mr. Joseph Gillmore, Mathematician.	1718	1	1
The angler's museum; or, the whole art of float and fly fishing. Containing, I. The Nature and Properties of Fish in general. II. Rules and Cautions to be observed by young Anglers. III. The Choice and Preparation of Rods and Lines. IV. Of Float-Fishing, and of live and dead Baits. V. Of Fly-Fishing, and the Preparation of artificial Flies. VI. An Account of the different Sorts of Fish, their Haunts, spawning Times, and Seasons to angle for them. Vii. An Account of some of the principal Sea Fish, their Nature, Qualities, and Manner of catching them, &c. Viii. Particulars respecting the Laws and Customs of Angling. The whole carefully collected from actual experience.		Thomas Shirley	The angler's museum; or, the whole art of float and fly fishing. Containing, I. The Nature and Properties of Fish in general. II. Rules and Cautions to be observed by young Anglers. III. The Choice and Preparation of Rods and Lines. IV. Of Float-Fishing, and of live and dead Baits. V. Of Fly-Fishing, and the Preparation of artificial Flies. VI. An Account of the different Sorts of Fish, their Haunts, spawning Times, and Seasons to angle for them. Vii. An Account of some of the principal Sea Fish, their Nature, Qualities, and Manner of catching them, &c. Viii. Particulars respecting the Laws and Customs of Angling. The whole carefully collected from actual experience.	1784	1	1
The significance of variations in the angular correction factor in in situ gamma spectrometry		J MacDonald, C J Gibson, P J Fish, D J Assinder	Journal of Radiological Protection	1998	1	1
Viscoelastic Characteristics of Fins, Muscle and Skin in Crucian Carp (Carassius Auratus) Described by the Fractional Zener Model		Ming Chen, Lai-Bing Jia, Xie-Zhen Yin	Chinese Physics Letters	2011	1	1
Smoke density integrator		R M Storey	British Journal of Applied Physics	1960	1	1
Visualization of chromatic correction of fish lenses by multiple focal lengths	Many fish and some terrestrial animals have multifocal lenses that compensate forchromatic aberration by a mechanism unique to biological optical systems. We describefour optical methods for the study of such lenses. Significantly improved methods(focal-area imaging, schlieren photography, and laser scanning) are explained infull detail. One method (photorefractometry) was only slightly modified overearlier versions and is illustrated in brief. Portable equipment is available forphotorefractometry, schlieren photography, and laser scanning. With our methodswe could for the first time directly illustrate chromatic correction by multifocallenses and detect a number of previously unknown optical features of fish lenses.	Pertti E Malkki, Ronald H H Krger	Journal of Optics A: Pure and Applied Optics	2005	1	1
Short-term ecological effects of an offshore wind farm in the Dutch coastal zone;acompilation	The number of offshore wind farms is increasing rapidly, leading to questions about theenvironmental impact of such farms. In the Netherlands, an extensive monitoringprogramme is being executed at the first offshore wind farm (Offshore Windfarm Egmondaan Zee, OWEZ). This letter compiles the short-term (twoyears) results on a large numberof faunal groups obtained so far. Impacts were expected from the new hard substratum, themoving rotor blades, possible underwater noise and the exclusion of fisheries. The resultsindicate no short-term effects on the benthos in the sandy area between the generators,while the new hard substratum of the monopiles and the scouring protection led to theestablishment of new species and new fauna communities. Bivalve recruitmentwas not impacted by the OWEZ wind farm. Species composition of recruits inOWEZ and the surrounding reference areas is correlated with mud content of thesediment and water depth irrespective the presence of OWEZ. Recruit abundances inOWEZ were correlated with mud content, most likely to be attributed not to thepresence of the farm but to the absence of fisheries. The fish community was highlydynamic both in time and space. So far, only minor effects upon fish assemblagesespecially near the monopiles have been observed. Some fish species, such ascod, seem to find shelter inside the farm. More porpoise clicks were recordedinside the farm than in the reference areas outside the farm. Several bird speciesseem to avoid the park while others are indifferent or are even attracted. Theeffects of the wind farm on a highly variable ecosystem are described. Overall, theOWEZ wind farm acts as a new type of habitat with a higher biodiversity ofbenthic organisms, a possibly increased use of the area by the benthos, fish, marinemammals and some bird species and a decreased use by several other bird species.	H J Lindeboom, H J Kouwenhoven, M J N Bergman, S Bouma, S Brasseur, R Daan, R C Fijn, D de Haan, S Dirksen, R van Hal, R Hille Ris Lambers, R ter Hofstede, K L Krijgsveld, M Leopold, M Scheidat	Environmental Research Letters	2011	1	1
Locomotion with flexible propulsors: I. Experimental analysis of pectoral fin swimming in sunfish	A full understanding of the mechanics of locomotion can be achieved by incorporating descriptions of (1) three-dimensional kinematics of propulsor movement, (2) material properties of the propulsor, (3) power input and control and (4) the fluid dynamics effects of propulsor motion into (5) a three-dimensional computational framework that models the complexity of propulsors that deform and change area. In addition, robotic models would allow for further experimental investigation of changes to propulsor design and for testing of hypothesized relationships between movement and force production. Such a comprehensive suite of data is not yet available for any flexible propulsor. In this paper, we summarize our research program with the goal of producing a comprehensive data set for each of the five components noted above through a study of pectoral fin locomotion in one species of fish: the bluegill sunfish Lepomis macrochirus. Many fish use pectoral fins exclusively for locomotion, and pectoral fins in most fish are integral to generating force during maneuvering. Pectoral fins are complex structures composed of jointed bony supports that are under active control via pectoral fin musculature. During propulsion in sunfish, the fin deforms considerably, has two leading edges, and sunfish can rotate the whole fin or just control individual sections to vector thrust. Fin material properties vary along the length of fin rays and among rays. Experimental fluid dynamic analysis of sunfish pectoral fin locomotion reveals that the fin generates thrust throughout the fin beat cycle, and that the upper and lower edges each produce distinct simultaneous leading edge vortices. The following companion paper provides data on the computational approach taken to understand locomotion using flexible pectoral fins.	George V Lauder, Peter G A Madden, Rajat Mittal, Haibo Dong, Meliha Bozkurttas	Bioinspiration & Biomimetics	2006	1	1
Atmospheric pressure plasma produced inside a closed package by a dielectric barrier discharge in Ar/CO2 for bacterial inactivation of biological samples	The generation and evaluation of a dielectric barrier discharge produced inside a closed package made of a commercially available packaging film and filled with gas mixtures of Ar/CO2 at atmospheric pressure is reported. The discharge parameters were analysed by electrical measurements and optical emission spectroscopy in two modes of operation: trapped gas atmosphere and flowing gas atmosphere. Gas temperature was estimated using the OH(AX) emission spectrum and the rotational temperature reached a saturation level after a few minutes of plasma running. The rotational temperature was almost three times higher in the Ar/CO2 plasma compared with an Ar plasma. The efficiency of the produced plasma for the inactivation of bacteria on food inside the closed package was investigated.	A S Chiper, W Chen, O Mejlholm, P Dalgaard, E Stamate	Plasma Sources Science and Technology	2011	1	1
Public radiation exposure due to the nuclear industry		J Bryan Williams	Physics Education	1988	1	1
Parametric study of the swimming performance of a fish robot propelled by a flexible caudal fin	In this paper, we aim to study the swimming performance of fish robots by using a statistical approach. A fish robot employing a carangiform swimming mode had been used as an experimental platform for the performance study. The experiments conducted aim to investigate the effect of various design parameters on the thrust capability of the fish robot with a flexible caudal fin. The controllable parameters associated with the fin include frequency, amplitude of oscillation, aspect ratio and the rigidity of the caudal fin. The significance of these parameters was determined in the first set of experiments by using a statistical approach. A more detailed parametric experimental study was then conducted with only those significant parameters. As a result, the parametric study could be completed with a reduced number of experiments and time spent. With the obtained experimental result, we were able to understand the relationship between various parameters and a possible adjustment of parameters to obtain a higher thrust. The proposed statistical method for experimentation provides an objective and thorough analysis of the effects of individual or combinations of parameters on the swimming performance. Such an efficient experimental design helps to optimize the process and determine factors that influence variability.	K H Low, C W Chong	Bioinspiration & Biomimetics	2010	1	1
A model of the lateral line of fish for vortex sensing	In this paper, the lateral line trunk canal (LLTC) of a fish is modeled to investigate how it is affected by an external flow field. Potential flow theory is adopted to model the flow field around a fish's body in the presence of a Karman vortex street. Karman and reverse Karman streets represent the flow patterns behind a bluff body and a traveling fish, respectively. An analytical solution is obtained for a flat body, while a fish-like body is modeled using a Joukowski transformation and the corresponding equations are solved numerically. The pressure distribution on the body surface is then computed employing Bernoulli's equation. For a known external flow, the flow inside the LLTC is driven by the pressure gradient between a pair of consecutive pores, which can be solved analytically. Governing dimensionless parameters are obtained from this analytical solution, and the effects of these numbers on the amplitude or features of the velocity distribution inside the canal are studied. The results show that the main characteristics of a vortex street including the magnitude of vortices, their translational speed, their spacing, their distance from the fish's body and the angle of the vortex street axis can all be recovered by measuring the velocity distribution along the canal and its changes with time. To this end, the proposed LLTC model could explain how a fish identifies the characteristics of a Karman vortex street shed by a nearby object or a traveling fish. It is also demonstrated that while this model captures the ac (alternating current) component of the external velocity signal, the dc (direct current) component of the signal is filtered out. Based on the results of our model, the role of the LLTC in a fish's schooling and its evolutionary impact on fish sensing are discussed.	Zheng Ren, Kamran Mohseni	Bioinspiration & Biomimetics	2012	1	1
Dielectrospectroscopic monitoring of early embryogenesis in singlefrog embryos		Koji Asami, Akihiko Irimajiri	Physics in Medicine and Biology	2000	1	1
The complete angler; or, contemplative man's recreation: being a discourse on rivers, fish-ponds, fish, and fishing: in two parts. The first written by Mr. Isaac Walton, the second by Charles Cotton, Esq. With the lives of the authors, and notes historical, critical, and explanatory. By Sir John Hawkins, Knt.		Izaak Walton 1593-1683, Charles Cotton 1630-1687	The complete angler; or, contemplative man's recreation: being a discourse on rivers, fish-ponds, fish, and fishing: in two parts. The first written by Mr. Isaac Walton, the second by Charles Cotton, Esq. With the lives of the authors, and notes historical, critical, and explanatory. By Sir John Hawkins, Knt.	1797	1	1
Ecosystem effects of climate change on the Seychelles islands: Current impacts and the potential for resolution		Justin Gerlach	IOP Conference Series: Earth and Environmental Science	2009	1	1
The compleat angler or The contemplative man's recreation : being a discourse of rivers, fish-ponds, fish, & fishing : to which is added, The laws of angling : with a new table of the particulars in this book		Walton, Izaak 1593-1683	The compleat angler or The contemplative man's recreation : being a discourse of rivers, fish-ponds, fish, & fishing : to which is added, The laws of angling : with a new table of the particulars in this book	1668	1	1
An experimental study on the excitation of large volume airguns in a small volume body of water	A large volume airgun array is effective in generating seismic waves, which is extensively used in large volume bodies of water such as oceans, lakes and reservoirs. So far, the application of large volume airguns is subject to the distribution of large volume bodies of water. This paper reports an attempt to utilize large volume airguns in a small body of water as a seismic source for seismotectonic studies. We carried out a field experiment in Mapaoquan pond, Fangshan district, Beijing, during the period 2530 May 2009. Bolt LL1500 airguns, each with volumes of 2000 in3, the largest commercial airguns available today, were used in this experiment. We tested the excitation of the airgun array with one or two guns. The airgun array was placed 711 m below the water's surface. The near- and far-field seismic motions induced by the airgun source were recorded by a 100 km long seismic profile composed of 16 portable seismometers and a 100 m long strong motion seismograph profile, respectively. The following conclusions can be drawn from this experiment. First, it is feasible to excite large volume airguns in a small volume body of water. Second, seismic signals from a single shot of one airgun can be recognized at the offset up to 15 km. Taking advantage of high source repeatability, we stacked records from 128 shots to enhance the signal-to-noise ratio, and direct P-waves can be easily identified at the offset 50 km in stacked records. Third, no detectable damage to fish or near-field constructions was caused by the airgun shots. Those results suggest that large volume airguns excited in small bodies of water can be used as a routinely operated seismic source for mid-scale (tens of kilometres) subsurface explorations and monitoring under various running conditions.	Baoshan Wang, Wei Yang, Songyong Yuan, Shijun Guo, Hongkui Ge, Ping Xu, Yong Chen	Journal of Geophysics and Engineering	2010	1	1
Climate factors that lead to fish kills in Australian coastal acid sulfate soil catchments		Lance Heath	IOP Conference Series: Earth and Environmental Science	2009	1	1
Refrigeration		Ezer Griffiths	Reports on Progress in Physics	1937	1	1
Natural history of birds, fish, insects, and reptiles. Embellished with upwards of two hundred engravings. In five volumes. ...		Georges Louis Leclerc Buffon 1707-1788	Natural history of birds, fish, insects, and reptiles. Embellished with upwards of two hundred engravings. In five volumes. ...	1798	1	1
Complex permittivity of white fish meal in the microwave region as a function of temperature and moisture content		M Kent	Journal of Physics D: Applied Physics	1970	1	1
Preservation technology and shelf life of fish and fish products	Abstract: The food matrix has a positive rather than simply a passive role in preservation methods because it interacts with the microbial flora responsible for its deterioration and can moderate by compartmentalisation within its structure the chemical, biochemical and physical changes which take place during storage.	D. M. Gibson	Shelf Life Evaluation of Foods	1994	1	1
A submillimeter VLBI array		Jonathan Weintroub	Journal of Physics: Conference Series	2008	1	1
